"num","title","persent","difficulty"
1480,"一维数组的动态和","86%","简单"
771,"宝石与石头","85%","简单"
1470,"重新排列数组","85%","简单"
1313,"解压缩编码列表","83%","简单"
595,"大的国家","79%","简单"
461,"汉明距离","79%","简单"
617,"合并二叉树","79%","简单"
657,"机器人能否返回原点","78%","简单"
804,"唯一摩尔斯密码词","76%","简单"
832,"翻转图像","76%","简单"
728,"自除数","75%","简单"
1051,"高度检查器","75%","简单"
344,"反转字符串","74%","简单"
557,"反转字符串中的单词 III","74%","简单"
349,"两个数组的交集","74%","简单"
977,"有序数组的平方","73%","简单"
561,"数组拆分 I","73%","简单"
922,"按奇偶排序数组 II","72%","简单"
1025,"除数博弈","72%","简单"
463,"岛屿的周长","71%","简单"
1030,"距离顺序排列矩阵单元格","71%","简单"
559,"N 叉树的最大深度","71%","简单"
1122,"数组的相对排序","71%","简单"
1385,"两个数组间的距离值","70%","简单"
852,"山脉数组的峰顶索引","70%","简单"
521,"最长特殊序列 Ⅰ","70%","简单"
876,"链表的中间结点","70%","简单"
905,"按奇偶排序数组","70%","简单"
389,"找不同","70%","简单"
1047,"删除字符串中的所有相邻重复项","70%","简单"
682,"棒球比赛","69%","简单"
637,"二叉树的层平均值","69%","简单"
509,"斐波那契数","68%","简单"
607,"销售员","67%","简单"
496,"下一个更大元素 I","67%","简单"
884,"两句话中的不常见单词","65%","简单"
303,"区域和检索 - 数组不可变","65%","简单"
1114,"按序打印","65%","简单"
1189,"“气球” 的最大数量","64%","简单"
892,"三维形体的表面积","64%","简单"
448,"找到所有数组中消失的数字","61%","简单"
824,"山羊拉丁文","61%","简单"
976,"三角形的最大周长","60%","简单"
563,"二叉树的坡度","58%","简单"
733,"图像渲染","58%","简单"
455,"分发饼干","58%","简单"
653,"两数之和 IV - 输入 BST","58%","简单"
1089,"复写零","58%","简单"
371,"两整数之和","57%","简单"
485,"最大连续1的个数","57%","简单"
404,"左叶子之和","56%","简单"
383,"赎金信","56%","简单"
704,"二分查找","56%","简单"
506,"相对名次","56%","简单"
606,"根据二叉树创建字符串","56%","简单"
409,"最长回文串","55%","简单"
697,"数组的度","55%","简单"
661,"图片平滑器","55%","简单"
453,"最小操作次数使数组元素相等","55%","简单"
746,"使用最小花费爬楼梯","55%","简单"
1128,"等价多米诺骨牌对的数量","54%","简单"
350,"两个数组的交集 II","54%","简单"
492,"构造矩形","54%","简单"
401,"二进制手表","53%","简单"
551,"学生出勤记录 I","52%","简单"
543,"二叉树的直径","52%","简单"
415,"字符串相加","52%","简单"
796,"旋转字符串","51%","简单"
997,"找到小镇的法官","51%","简单"
345,"反转字符串中的元音字母","51%","简单"
387,"字符串中的第一个唯一字符","51%","简单"
459,"重复的子字符串","51%","简单"
392,"判断子序列","51%","简单"
504,"七进制数","50%","简单"
594,"最长和谐子序列","50%","简单"
836,"矩形重叠","49%","简单"
326,"3的幂","48%","简单"
674,"最长连续递增序列","47%","简单"
572,"另一个树的子树","47%","简单"
374,"猜数字大小","47%","简单"
671,"二叉树中第二小的节点","46%","简单"
643,"子数组最大平均数 I","46%","简单"
716,"最大栈","46%","简单"
1668,"最大重复子字符串","43%","简单"
645,"错误的集合","43%","简单"
1013,"将数组分成和相等的三个部分","40%","简单"
925,"长按键入","39%","简单"
914,"卡牌分组","39%","简单"
414,"第三大的数","36%","简单"
605,"种花问题","34%","简单"
