"num","title","persent","difficulty"
312,"戳气球","68%","困难"
546,"移除盒子","64%","困难"
428,"序列化和反序列化 N 叉树","63%","困难"
530,"二叉搜索树的最小绝对差  0","61%",
765,"情侣牵手","60%","困难"
632,"最小区间","59%","困难"
458,"可怜的小猪","59%","困难"
839,"相似字符串组","57%","困难"
1096,"花括号展开 II","55%","困难"
847,"访问所有节点的最短路径","55%","困难"
679,"24 点游戏","55%","困难"
410,"分割数组的最大值","54%","困难"
330,"按要求补齐数组","54%","困难"
465,"最优账单平衡","51%","困难"
301,"删除无效的括号","50%","困难"
668,"乘法表中第k小的数","49%","困难"
968,"监控二叉树","49%","困难"
768,"最多能完成排序的块 II","48%","困难"
664,"奇怪的打印机","48%","困难"
642,"设计搜索自动补全系统","48%","困难"
317,"离建筑物最近的距离","48%","困难"
1349,"参加考试的最大学生数","48%","困难"
601,"体育馆的人流量","48%","困难"
1259,"不相交的握手","47%","困难"
329,"矩阵中的最长递增路径","47%","困难"
407,"接雨水 II","46%","困难"
726,"原子的数量","46%","困难"
480,"滑动窗口中位数","45%","困难"
381,"O(1) 时间插入、删除和获取随机元素 - 允许重复","45%","困难"
1235,"规划兼职工作","44%","困难"
460,"LFU 缓存","43%","困难"
321,"拼接最大数","43%","困难"
864,"获取所有钥匙的最短路径","43%","困难"
327,"区间和的个数","43%","困难"
772,"基本计算器 III","43%","困难"
987,"二叉树的垂序遍历","42%","困难"
315,"计算右侧小于当前元素的个数","42%","困难"
588,"设计内存文件系统","42%","困难"
940,"不同的子序列 II","41%","困难"
502,"IPO","41%","困难"
818,"赛车","40%","困难"
403,"青蛙过河","39%","困难"
354,"俄罗斯套娃信封问题","39%","困难"
629,"K个逆序对数组","39%","困难"
1000,"合并石头的最低成本","38%","困难"
466,"统计重复个数","38%","困难"
1095,"山脉数组中查找目标值","37%","困难"
324,"摆动排序 II","37%",
924,"尽量减少恶意软件的传播","37%","困难"
446,"等差数列划分 II - 子序列","37%","困难"
440,"字典序的第K小数字","36%","困难"
1153,"字符串转化","36%","困难"
1293,"网格中的最短路径","35%","困难"
829,"连续整数求和","35%","困难"
741,"摘樱桃","35%","困难"
630,"课程表 III","35%","困难"
493,"翻转对","34%","困难"
600,"不含连续1的非负整数","33%","困难"
703,,"NaN%",
992,"K 个不同整数的子数组","33%","困难"
871,"最低加油次数     0","31%",
1208,,"NaN%",
1296,,"NaN%",
